CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US,High
150,36,7,488,150,2,25,17,0,1,No
129,69,10,289,110,2,50,16,0,1,No
98,72,0,59,69,2,65,16,1,0,No
146,34,0,220,157,1,51,16,1,0,No
121,58,8,249,90,2,48,13,0,1,Yes
142,90,1,189,112,1,39,10,0,1,Yes
119,60,0,372,70,0,30,18,0,0,Yes
111,28,0,486,111,2,29,12,0,0,No
143,21,5,81,160,2,67,12,0,1,No
122,74,0,424,149,2,51,13,1,0,No
130,64,0,40,106,0,39,17,0,0,No
148,64,0,58,141,2,27,13,0,1,Yes
147,58,7,100,191,0,27,15,1,1,No
119,67,17,151,137,2,55,11,1,1,No
106,73,0,216,93,2,60,13,1,0,No
129,89,0,425,117,2,45,10,1,0,No
104,41,15,492,77,1,73,18,1,1,Yes
128,39,12,356,118,2,71,10,1,1,Yes
93,106,12,416,55,2,75,15,1,1,Yes
104,102,13,123,110,1,35,16,1,1,Yes
135,91,5,207,128,2,66,18,1,1,No
139,24,0,358,185,2,79,15,0,0,No
115,89,0,38,122,2,25,12,1,0,No
138,107,9,480,154,2,47,11,0,1,No
138,72,0,148,94,2,27,17,1,1,Yes
104,71,14,89,81,2,25,14,0,1,Yes
144,25,3,70,116,2,77,18,1,1,No
137,112,15,434,149,0,66,13,1,1,No
121,83,0,79,91,2,68,11,1,0,No
137,60,4,230,140,0,25,13,1,0,No
118,74,6,426,102,2,80,18,1,1,No
132,33,7,35,97,2,60,11,0,1,Yes
130,100,11,449,107,2,64,10,1,1,Yes
120,51,0,93,86,2,46,17,0,0,Yes
117,32,0,142,96,0,62,17,1,0,No
116,37,0,426,90,2,76,15,1,0,Yes
118,117,18,509,104,2,26,15,0,1,Yes
130,37,13,297,101,2,37,13,0,1,Yes
156,42,13,170,173,1,74,14,1,1,No
108,26,0,408,93,2,56,14,0,0,No
139,70,7,71,96,1,61,10,1,1,Yes
112,98,18,481,128,2,45,11,1,1,No
117,93,4,420,112,0,66,11,1,1,No
130,28,6,410,133,0,72,16,1,1,No
124,61,0,333,138,2,76,16,1,0,No
112,80,5,500,128,2,69,10,1,1,No
122,88,5,335,126,2,64,14,1,1,No
144,92,0,349,146,2,62,12,0,0,No
138,83,0,139,134,2,54,18,1,0,No
121,78,4,413,130,0,46,10,0,1,No
131,82,0,132,157,0,25,14,1,0,No
155,80,0,237,124,2,37,14,1,0,Yes
113,22,1,317,132,2,28,12,1,0,No
162,67,0,27,160,2,77,17,1,1,No
111,105,0,466,97,0,61,10,0,0,Yes
86,54,0,497,64,0,33,12,1,0,No
98,21,11,326,90,0,76,11,0,1,No
125,41,2,357,123,0,47,14,0,1,No
117,118,14,445,120,2,32,15,1,1,Yes
145,69,19,501,105,2,45,11,1,1,Yes
149,84,5,220,139,2,33,10,1,1,Yes
115,115,3,48,107,2,73,18,1,1,No
116,83,15,170,144,0,71,11,1,1,No
141,33,0,243,144,2,34,17,1,0,No
106,44,0,481,111,2,70,14,0,0,No
138,61,12,156,120,2,25,14,1,1,Yes
116,79,19,359,116,1,58,17,1,1,Yes
131,120,15,262,124,2,30,10,1,1,Yes
124,44,0,125,107,2,80,11,1,0,No
136,119,6,178,145,2,35,13,1,1,No
110,45,9,276,125,2,62,14,1,1,No
134,82,0,464,141,2,48,13,0,0,No
107,25,0,412,82,0,36,14,1,0,No
119,33,0,245,122,1,56,14,1,0,No
113,64,10,68,101,2,57,16,1,1,Yes
149,73,13,381,163,0,26,11,0,1,No
98,104,0,404,72,2,27,18,0,0,Yes
115,60,0,119,114,0,38,14,0,0,No
132,69,0,123,122,2,27,11,0,0,Yes
137,80,10,24,105,1,61,15,1,1,Yes
123,76,18,218,120,2,29,14,0,1,Yes
115,62,11,289,129,1,56,16,0,1,Yes
126,32,8,95,132,2,50,17,1,1,No
141,34,16,361,108,2,69,10,1,1,Yes
151,28,8,499,135,2,48,10,1,1,Yes
121,24,0,200,133,1,73,13,1,0,No
123,105,0,149,118,0,62,16,1,1,No
159,80,0,362,121,2,26,18,1,0,Yes
136,63,0,160,94,2,38,12,1,0,Yes
124,46,0,199,135,2,52,14,0,0,No
124,25,13,87,110,2,57,10,1,1,No
130,30,0,391,100,2,26,18,1,0,Yes
114,43,0,199,88,1,57,10,0,1,Yes
120,56,20,266,90,0,78,18,1,1,No
123,114,0,298,151,0,34,16,1,0,No
111,52,0,12,101,2,61,11,1,1,No
125,67,0,86,117,0,65,11,1,0,No
137,105,10,435,156,1,72,14,1,1,Yes
139,111,5,310,132,0,62,13,1,1,No
133,97,0,70,117,2,32,16,1,0,Yes
124,24,5,288,122,2,57,12,0,1,No
108,104,23,353,129,1,37,17,1,1,Yes
123,81,8,198,81,0,80,15,1,1,No
147,40,0,277,144,2,73,10,1,0,No
125,62,14,477,112,2,80,13,1,1,Yes
108,38,0,251,81,0,72,14,0,0,No
123,36,10,467,100,0,74,11,0,1,No
129,117,8,400,101,0,36,10,1,1,No
121,42,4,188,118,2,54,15,1,1,No
120,77,15,86,132,2,48,18,1,1,No
116,26,6,434,115,2,25,17,1,1,No
128,29,5,324,159,1,31,15,1,1,No
130,35,10,402,129,0,39,17,1,1,No
128,93,12,343,112,1,73,17,0,1,Yes
134,82,7,473,112,0,51,12,0,1,No
123,57,0,66,105,2,39,11,1,0,No
159,69,0,438,166,2,46,17,1,0,No
119,26,0,284,89,1,26,10,1,0,Yes
111,56,0,504,110,2,62,16,1,0,No
113,33,0,14,63,1,38,12,1,0,Yes
116,106,8,244,86,2,58,12,1,1,Yes
135,93,2,67,119,2,34,11,1,1,No
107,119,11,210,132,2,53,11,1,1,No
135,69,14,296,130,2,73,15,1,1,No
136,48,12,326,125,2,36,16,1,1,No
114,113,2,129,151,1,40,15,0,1,No
141,57,13,376,158,2,64,18,1,1,No
121,86,10,496,145,0,51,10,1,1,No
122,69,7,303,105,1,45,16,0,1,Yes
150,96,0,80,154,1,61,11,1,0,No
135,110,0,112,117,2,80,16,0,0,No
106,46,11,414,96,0,79,17,0,0,No
146,26,11,261,131,2,39,10,1,1,No
117,118,11,429,113,2,67,18,0,1,No
95,44,4,208,72,0,44,17,1,1,No
116,40,0,74,97,2,76,15,0,0,No
143,77,25,448,156,2,43,17,1,1,Yes
107,111,14,400,103,2,41,11,0,1,Yes
118,70,0,106,89,0,39,17,1,0,No
113,66,16,322,74,1,76,15,1,1,Yes
123,84,0,74,89,1,59,10,1,0,Yes
148,76,3,126,99,1,60,11,1,1,Yes
118,35,14,502,137,2,79,10,0,1,No
127,44,13,160,123,1,63,18,1,1,Yes
118,83,13,276,104,0,75,10,1,1,No
148,63,0,312,130,1,63,15,1,0,Yes
135,40,17,497,96,2,54,17,0,1,Yes
116,78,1,158,99,2,45,11,1,1,Yes
99,93,0,198,87,2,57,16,1,1,No
108,77,13,388,110,0,74,14,1,1,No
133,52,16,290,99,2,43,11,1,1,Yes
123,98,12,408,134,1,29,10,1,1,Yes
115,29,26,394,132,2,33,13,1,1,Yes
131,32,1,85,133,2,48,12,1,1,No
138,92,0,13,120,0,61,12,1,0,No
126,80,19,436,126,2,52,10,1,1,Yes
131,111,13,33,80,0,68,18,1,1,Yes
175,65,29,419,166,2,53,12,1,1,Yes
146,68,12,328,132,0,51,14,1,1,No
137,117,5,337,135,0,38,10,1,1,No
103,81,3,491,54,2,66,13,1,0,Yes
133,33,10,333,129,1,71,14,1,1,No
131,21,8,220,171,1,29,14,1,1,No
122,36,5,369,72,1,35,10,1,1,Yes
142,30,0,472,136,1,80,15,0,0,No
116,72,10,456,130,1,41,14,0,1,Yes
127,45,19,459,129,2,57,11,0,1,No
136,70,12,171,152,2,44,18,1,1,No
123,39,5,499,98,2,34,15,1,0,No
140,50,10,300,139,1,60,15,1,1,Yes
107,105,18,428,103,2,34,12,1,1,Yes
136,65,4,133,150,0,53,13,1,1,No
144,69,11,131,104,2,47,11,1,1,Yes
133,30,0,152,122,2,53,17,1,0,No
112,38,17,316,104,2,80,16,1,1,No
117,66,1,65,111,0,55,11,1,1,No
100,54,9,433,89,1,45,12,1,1,Yes
122,59,0,501,112,0,32,14,0,0,No
135,63,15,213,134,2,32,10,1,1,Yes
106,33,20,354,104,2,61,12,1,1,No
136,60,7,303,147,2,41,10,1,1,No
93,117,9,489,83,0,42,13,1,1,No
120,70,15,464,110,2,72,15,1,1,No
138,35,6,60,143,0,28,18,1,0,No
130,38,0,283,102,2,80,15,1,0,Yes
112,24,0,164,101,2,45,11,1,0,No
134,44,4,219,126,1,44,15,1,1,Yes
140,29,0,105,91,0,43,16,1,0,No
98,120,0,268,93,2,72,10,0,0,No
137,102,13,422,118,2,71,10,0,1,No
117,42,10,371,121,0,26,14,1,1,No
138,80,0,108,126,1,70,13,0,1,Yes
121,68,0,279,149,1,79,12,1,0,No
132,107,0,144,125,2,33,13,0,0,Yes
96,39,0,161,112,1,27,14,0,0,No
132,102,20,459,107,1,49,11,1,1,Yes
134,27,18,467,96,2,49,14,0,1,Yes
111,101,17,266,91,2,63,17,0,1,Yes
124,115,16,458,105,2,62,16,0,1,Yes
133,103,14,288,122,1,61,17,1,1,Yes
107,67,12,430,92,2,35,12,0,1,Yes
133,31,1,80,145,2,42,18,1,1,No
130,100,0,306,146,1,42,11,1,0,No
142,109,0,111,164,1,72,12,1,0,No
103,73,3,276,72,2,34,15,1,1,Yes
123,96,10,71,118,0,69,11,1,1,No
130,62,11,396,130,0,66,14,1,1,No
118,86,7,265,114,1,52,15,0,1,Yes
131,25,10,183,104,2,56,15,0,1,Yes
131,55,0,26,110,0,79,12,1,1,No
111,75,1,377,108,1,25,12,1,0,Yes
122,21,16,488,131,1,30,14,1,1,Yes
154,30,0,122,162,2,57,17,0,0,No
124,56,11,447,134,2,53,12,0,1,No
95,106,0,256,53,1,52,17,1,0,Yes
109,22,10,348,79,1,74,14,0,1,Yes
135,100,22,463,122,2,36,14,1,1,Yes
126,41,22,403,119,0,42,12,1,1,No
152,81,0,191,126,2,54,16,1,0,Yes
121,50,0,508,98,2,65,11,0,0,No
137,71,0,402,116,2,78,17,1,0,No
131,47,7,90,118,2,47,12,1,1,Yes
132,46,4,206,124,2,73,11,1,0,No
141,60,19,319,92,1,44,11,1,1,Yes
132,61,0,263,125,2,41,12,0,0,No
133,88,3,105,119,2,79,12,1,1,No
125,111,0,404,107,0,54,15,1,0,No
106,64,10,17,89,2,68,17,1,1,Yes
124,65,21,496,151,0,77,13,1,1,No
121,28,19,315,121,2,66,14,1,1,No
98,117,0,76,68,2,63,10,1,0,Yes
123,37,15,348,112,1,28,12,1,1,Yes
131,73,13,455,132,2,62,17,1,1,No
152,116,0,170,160,2,39,16,1,0,No
142,73,14,238,115,2,73,14,0,1,Yes
135,89,11,245,78,0,79,16,1,1,Yes
128,42,8,328,107,2,35,12,1,1,Yes
108,75,9,61,111,2,67,12,1,1,No
153,63,0,49,124,0,56,16,1,0,No
129,42,13,315,130,0,34,13,1,1,No
109,51,10,26,120,2,30,17,0,1,No
130,58,19,366,139,0,33,16,1,1,No
138,108,17,203,128,1,33,14,1,1,Yes
139,23,3,37,120,2,55,11,0,1,No
162,26,12,368,159,2,40,18,1,1,No
100,79,7,284,95,0,50,12,1,1,No
134,37,0,27,120,1,49,16,1,1,Yes
